ma,province,infected,dead,new
1,Hà Nội,1600908,1221,251
2,Hà Giang,121869,80,15
4,Cao Bằng,95255,57,13
6,Bắc Kạn,74104,28,14
8,Tuyên Quang,142608,14,28
10,Lào Cai,182978,38,33
11,Điện Biên,88197,20,3
12,Lai Châu,73795,0,0
14,Sơn La,150424,0,20
15,Yên Bái,147867,13,78
17,Hoà Bình,236011,102,22
19,Thái Nguyên,185267,110,24
20,Lạng Sơn,156750,84,9
22,Quảng Ninh,346499,138,39
24,Bắc Giang,387605,91,7
25,Phú Thọ,320485,97,59
26,Vĩnh Phúc,368241,19,61
27,Bắc Ninh,344026,136,0
30,Hải Dương,363244,114,22
31,Hải Phòng,119953,135,18
33,Hưng Yên,239943,5,6
34,Thái Bình,292350,23,23
35,Hà Nam,84500,65,11
36,Nam Định,295632,149,49
37,Ninh Bình,99302,91,11
38,Thanh Hóa,167451,107,13
40,Nghệ An,484690,145,35
42,Hà Tĩnh,50193,50,15
44,Quảng Bình,123710,74,12
45,Quảng Trị,81658,38,12
46,Thừa Thiên Huế,46335,173,8
48,Đà Nẵng,98462,337,20
49,Quảng Nam,49217,150,0
51,Quảng Ngãi,47509,127,3
52,Bình Định,137046,281,2
54,Phú Yên,42668,137,0
56,Khánh Hòa,117784,361,1
58,Ninh Thuận,8639,60,0
60,Bình Thuận,52483,477,0
62,Kon Tum,26139,1,0
64,Gia Lai,69479,116,0
66,Đắk Lắk,170585,201,0
67,Đắk Nông,72953,47,0
68,Lâm Đồng,91936,141,18
70,Bình Phước,117341,224,7
72,Tây Ninh,137682,916,0
74,Bình Dương,320885,3518,0
75,Đồng Nai,106633,1899,1
77,Bà Rịa - Vũng Tàu,106875,495,10
79,TP Hồ Chí Minh,611083,19984,32
80,Long An,48979,1088,0
82,Tiền Giang,36212,1290,0
83,Bến Tre,96612,482,1
84,Trà Vinh,74647,115,0
86,Vĩnh Long,101060,828,0
87,Đồng Tháp,50591,1007,0
89,An Giang,41253,1321,0
91,Kiên Giang,39792,1027,0
92,Cần Thơ,76394,951,0
93,Hậu Giang,17084,231,0
94,Sóc Trăng,34350,633,0
95,Bạc Liêu,46433,470,0
96,Cà Mau,145889,357,4
